2026-09-01 03:28:09 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
2026-09-01 03:28:10 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
2026-09-01 03:28:11 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
2026-09-01 03:28:12 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
2026-09-01 03:28:12 | INFO     | scraper.cleaner | Cleaned 11 products -> 11 after deduplication
2026-09-01 03:28:12 | INFO     | scraper.validator | Validated 11 products -> 11 valid
2026-09-01 03:28:12 | INFO     | scraper.storage | Saved CSV: output\books_test.csv
2026-09-01 03:28:13 | INFO     | scraper.storage | Saved Excel: output\books_test.xlsx
2026-09-01 03:28:13 | INFO     | scraper.analysis | Analysis complete: 11 products
2026-09-01 03:28:13 | INFO     | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-09-01 03:28:13 | INFO     | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-09-01 03:28:14 | INFO     | scraper.visualization | Saved chart: output\charts\price_distribution.png
2026-09-01 03:28:14 | INFO     | scraper.visualization | Saved chart: output\charts\rating_distribution.png
2026-09-01 03:28:14 | INFO     | scraper.visualization | Saved chart: output\charts\price_vs_rating.png
2026-09-01 03:28:14 | INFO     | scraper.visualization | Saved chart: output\charts\products_by_category.png
2026-09-01 03:28:28 | INFO     | scraper.cleaner | Cleaned 2 products -> 2 after deduplication
2026-09-01 03:28:28 | INFO     | scraper.validator | Validated 2 products -> 2 valid
2026-09-01 03:28:28 | INFO     | scraper.analysis | Analysis complete: 2 products
2026-09-01 03:28:29 | INFO     | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-09-01 03:28:29 | INFO     | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-09-01 03:28:29 | INFO     | scraper.visualization | Saved chart: tmp_output\charts\price_distribution.png
2026-09-01 03:28:29 | INFO     | scraper.visualization | Saved chart: tmp_output\charts\rating_distribution.png
2026-09-01 03:28:29 | INFO     | scraper.visualization | Saved chart: tmp_output\charts\price_vs_rating.png
2026-09-01 03:28:29 | INFO     | scraper.visualization | Saved chart: tmp_output\charts\products_by_category.png
2026-09-01 03:28:30 | INFO     | scraper.storage | Saved CSV: tmp_output\products.csv
2026-09-01 03:28:30 | INFO     | scraper.storage | Saved Excel: tmp_output\products.xlsx
2026-09-01 03:45:34 | INFO     | scraper.http_client | GET /robots.txt
2026-09-01 03:45:34 | WARNING  | scraper.http_client | Request failed for /robots.txt: Invalid URL '/robots.txt': No scheme supplied. Perhaps you meant https:///robots.txt?
2026-09-01 03:45:34 | INFO     | scraper.http_client | GET https://www.amazon.com/robots.txt
2026-09-01 03:45:35 | INFO     | scraper.pipeline | Scraping 2 unique product URLs
2026-09-01 03:45:35 | INFO     | scraper.http_client | GET amazon.com/acer-Wireless-Bluetooth-Headphones-Multipoint/dp/B0FQJQMTJT/ref=sr_1_1_sspa?adgrpid=164469006602&dib=eyJ2IjoiMSJ9.oMFZReg_4Tb_-vlvFhHDHc79tOXQqlAUhyMi2dzfBoFa1E7lQpTw4CVwevwJ37iXt2QExw1tB1-XCPuVcm6X1HbC2zB_Vp_Go3CZ5CEvTlWDuS38QpCduY7snsti-8UEmlmL5e4DnAH7hLgK3ydqrc8hUnSSoj-3zgHWs6c3LjNT2n3FdmjZotKPTYrEUYYO3Cv3j3RYnXq-pupvm3erNct7B5Ey2vkMcXA2wJ6K-ts.syG76RB-nY6iBnTvHRXvoIIYzMD4Tymcaa95tQGBi_I&dib_tag=se&hvadid=700586678785&hvdev=c&hvlocphy=9195804&hvnetw=g&hvqmt=b&hvrand=8754586290412050616&hvtargid=kwd-295324530136&hydadcr=8911_13540123&keywords=dual+mode+headphones&mcid=c8a6f557a6fd3cc2b55c015f01c94de7&qid=1788216221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
